="",="(1)",=""
="AT",="0.0748",="(0.000924)"
="BE",="0.0755",="(0.00183)"
="CY",="-0.129",="(0.00121)"
="CZ",="-0.0636",="(0.00142)"
="DK",="0.132",="(0.00114)"
="EE",="0.0249",="(0.00173)"
="EL",="-0.128",="(0.00151)"
="ES",="-0.0706",="(0.00117)"
="FI",="0.158",="(0.00210)"
="FR",="0.0705",="(0.00144)"
="HR",="-0.0721",="(0.00166)"
="HU",="-0.0811",="(0.000910)"
="IE",="0.0646",="(0.00153)"
="IT",="-0.0851",="(0.000711)"
="LT",="-0.132",="(0.00123)"
="LU",="0.146",="(0.00336)"
="LV",="-0.120",="(0.00262)"
="NL",="0.208",="(0.00134)"
="PL",="-0.0496",="(0.000880)"
="PT",="0.0130",="(0.00157)"
="RO",="-0.126",="(0.000775)"
="SE",="0.172",="(0.00102)"
="SK",="-0.0572",="(0.00105)"
