	(1)		(2)		(3)	
1.country	0.0691	0.0126	0.0859	0.00633	0.0474	0.00938
2.country	0.125	0.0101	0.103	0.00621	0.0788	0.00929
4.country	-0.117	0.00574	-0.106	0.00346	-0.116	0.0151
5.country	-0.0621	0.0104	-0.0193	0.00526		
6.country	0	.	0	.	0	.
7.country	0.134	0.0147	0.141	0.00572	0.129	0.00769
8.country	0.0352	0.00853	0.0602	0.00662	0.0880	0.0129
9.country	-0.0958	0.0104	-0.0542	0.00762	-0.0850	0.0158
10.country	-0.0683	0.00749	-0.0261	0.00471	-0.0370	0.0155
11.country	0.179	0.0202	0.203	0.00872	0.186	0.0135
12.country	0.0961	0.0113	0.0964	0.00347	0.0842	0.0111
13.country	-0.0867	0.0166	-0.0330	0.00589	-0.0226	0.0170
14.country	-0.0968	0.0150	-0.0431	0.00564	-0.0109	0.0153
15.country	0.108	0.0185	0.115	0.0107		
16.country	-0.0877	0.00626	-0.0581	0.00400	-0.0639	0.00860
17.country	-0.103	0.0148	-0.0876	0.00840	-0.0533	0.0179
18.country	0.205	0.0171	0.0882	0.0261	0.0729	0.0259
19.country	-0.109	0.0106	-0.0911	0.00964	-0.0495	0.0164
21.country	0.252	0.0209	0.218	0.0144		
22.country	-0.0422	0.00959	-0.00100	0.00709	-0.0144	0.0176
23.country	0.00317	0.0158	0.0317	0.00792	0.0551	0.0149
24.country	-0.155	0.00747	-0.0506	0.00951	-0.0288	0.0183
25.country	0.207	0.0166	0.190	0.00974	0.176	0.0119
27.country	-0.0714	0.0103	-0.0127	0.00698		
